Date,Open,High,Low,Close,Adj Close,Volume,Change_%
2020-01-02,158.77999877929688,160.72999572753906,158.3300018310547,160.6199951171875,154.49383544921875,22622100,
2020-01-03,158.32000732421875,159.9499969482422,158.05999755859375,158.6199951171875,152.57009887695312,21116200,-1.245174984933109
2020-01-06,157.0800018310547,159.10000610351562,156.50999450683594,159.02999877929688,152.9644775390625,20813700,0.25848170138100607
2020-01-07,159.32000732421875,159.6699981689453,157.32000732421875,157.5800018310547,151.56980895996094,21634100,-0.9117757400316057
2020-01-08,158.92999267578125,160.8000030517578,157.9499969482422,160.08999633789062,153.98402404785156,27746500,1.5928382267230603
2020-01-09,161.83999633789062,162.22000122070312,161.02999877929688,162.08999633789062,155.90777587890625,21385000,1.2492972988635351
2020-01-10,162.82000732421875,163.22000122070312,161.17999267578125,161.33999633789062,155.18634033203125,20725900,-0.46270591458127996
2020-01-13,161.75999450683594,163.30999755859375,161.25999450683594,163.27999877929688,157.0523681640625,21626500,1.202431192165982
2020-01-14,163.38999938964844,163.60000610351562,161.72000122070312,162.1300048828125,155.9462432861328,23477400,-0.7043078791535297
2020-01-15,162.6199951171875,163.94000244140625,162.57000732421875,163.17999267578125,156.95620727539062,21417900,0.6476208976417911
2020-01-16,164.35000610351562,166.24000549316406,164.02999877929688,166.1699981689453,159.8321533203125,23865400,1.8323358422406837
2020-01-17,167.4199981689453,167.47000122070312,165.42999267578125,167.10000610351562,160.72671508789062,34371700,0.5596725912127483
2020-01-21,166.67999267578125,168.19000244140625,166.42999267578125,166.5,160.14955139160156,29517200,-0.35907006678619235
2020-01-22,167.39999389648438,167.49000549316406,165.67999267578125,165.6999969482422,159.38006591796875,24138800,-0.4804823133680556
2020-01-23,166.19000244140625,166.8000030517578,165.27000427246094,166.72000122070312,160.36117553710938,19680800,0.6155728975538513
2020-01-24,167.50999450683594,167.52999877929688,164.4499969482422,165.0399932861328,158.74525451660156,24918100,-1.0076822950272932
2020-01-27,161.14999389648438,163.3800048828125,160.1999969482422,162.27999877929688,156.0904998779297,32078100,-1.6723186010138071
2020-01-28,163.77999877929688,165.75999450683594,163.07000732421875,165.4600067138672,159.1492462158203,24899900,1.9595809455823134
2020-01-29,167.83999633789062,168.75,165.69000244140625,168.0399932861328,161.6308135986328,34754500,1.5592810755334006
2020-01-30,174.0500030517578,174.0500030517578,170.7899932861328,172.77999877929688,166.1900177001953,51597500,2.820760344290744
